[rosmaster.main][INFO] 2025-06-13 11:28:37,909: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-13 11:28:37,910: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-13 11:28:37,910: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-13 11:28:37,911: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-13 11:28:37,911: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-13 11:28:37,911: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-13 11:28:38,008: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,009: +PARAM [/roslaunch/uris/host_192_168_1_124__35685] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,037: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,037: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,037: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,038: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,038: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 11:28:38,040: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:39587/
[rosmaster.master][INFO] 2025-06-13 11:28:38,041: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:39587/
[rosmaster.master][INFO] 2025-06-13 11:28:38,052: +SUB [/clock] /rosout http://192.168.1.124:39587/
[rosmaster.master][INFO] 2025-06-13 11:28:38,053: +PUB [/rosout_agg] /rosout http://192.168.1.124:39587/
[rosmaster.master][INFO] 2025-06-13 11:28:38,057: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,059: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,060: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,061: +SUB [/rosout] /rosout http://192.168.1.124:39587/
[rosmaster.master][INFO] 2025-06-13 11:28:38,097: +SUB [/clock] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,114: +PUB [/tf] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,114: +PUB [/tf_static] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,124: +SUB [/joint_states] /robot_state_publisher http://192.168.1.124:36119/
[rosmaster.master][INFO] 2025-06-13 11:28:38,142: +PUB [/rosout] /rviz http://192.168.1.124:42771/
[rosmaster.master][INFO] 2025-06-13 11:28:38,143: +SERVICE [/rviz/get_loggers] /rviz http://192.168.1.124:42771/
[rosmaster.master][INFO] 2025-06-13 11:28:38,144: +SERVICE [/rviz/set_logger_level] /rviz http://192.168.1.124:42771/
